,URL,Date,User,Tweet
18,https://twitter.com/Putri_Zeee/status/1597492995963883520,2022-11-29 07:29:44+00:00,Putri_Zeee,"Relawan Front Persaudaraan Islam (FPI) Istirahat ala kadarnya disela sela membantu masyarakat yang terdampak Gempa Bumi di Cianjur, https://t.co/S52eSEdB09"
19,https://twitter.com/n3wbie__/status/1597491108703272960,2022-11-29 07:22:14+00:00,n3wbie__,"setelah  viral baru klarifikasi..😂

Klasifikasi ormas GARIS  terkait pencopotan label / logo greja pada tenda bantuan korban gempa cianjur https://t.co/vPc6age2F4"
20,https://twitter.com/Humaira922/status/1597487753511702528,2022-11-29 07:08:54+00:00,Humaira922,Habib Hanif Al athos meninjau langsung ke lokasi bencana gempa cianjur hari ini ☺️ https://t.co/s0rCer9RBg
21,https://twitter.com/Cimol_Moza/status/1597475711073542144,2022-11-29 06:21:03+00:00,Cimol_Moza,"Masyallah,
TNI dan Relawan HILMI-FrontPersaudaraan Islam (FPI ) bahu membahu mencari korban Gempa Bumi di Cianjur.
Alhamdulillah Ya Robaal alamin, https://t.co/Srj4ofULSj"
22,https://twitter.com/z4r4n/status/1597473558242160641,2022-11-29 06:12:30+00:00,z4r4n,TNI dan Relawan HILMI-FPI bahu membahu mencari korban Gempa di Cianjur. https://t.co/tlpxb9WJtp
23,https://twitter.com/ilbanditomilano/status/1597472095075983360,2022-11-29 06:06:41+00:00,ilbanditomilano,"Habib Abdurahman Aljufri (Ketua DPC FPI Cibarusah)  menghibur anak² korban bencana tepatnya di RT.01 RW.03 Kp.Bangkuwong desa.Kebonpeuteuy Kec.Gekbrong Kab.Cianjur , dgn membagikan susu segar Kpd anak² korban bencana gempa Cianjur.

#RelawanFPI https://t.co/4aJH5UUR9X"
24,https://twitter.com/Dorraemon_/status/1597468304792203264,2022-11-29 05:51:38+00:00,Dorraemon_,"Relawan HILMI-Front Persaudaraan Islam (FPI) membangun Mushola untuk para  pengungsi korban Gempa Bumi di Cianjur.
Alhamdulillah Ya Robaal alamin,

@mohmahfudmd 😁 https://t.co/fXlz0JQkKS"
25,https://twitter.com/PDemokrat/status/1597467523997659136,2022-11-29 05:48:31+00:00,PDemokrat,"Melangkah bersama hilangkan duka, ringankan beban

Kader Partai Demokrat bahu-membahu bantu korban gempa Cianjur dan sekitarnya

#DemokratPeduliDanBerbagi 
#DemokratDenganHati https://t.co/GEjR16l1wE"
26,https://twitter.com/IKIAE_MAS/status/1597448824406302720,2022-11-29 04:34:13+00:00,IKIAE_MAS,"Siapa Ketua Ormas GARIS yang merobek Label Tenda pengungsi korban gempa Cianjur..? 

Lucky Permana anak dari Chep Hernawan Ketua ISIS Indonesia dia lah yang memvideokan aksi tersebut. https://t.co/F06hJCt7Kw"
27,https://twitter.com/yaniarsim/status/1597446816983023616,2022-11-29 04:26:14+00:00,yaniarsim,"Update gempa Cianjur
Meninggal 323 jiwa
Luka-luka 7.729 jiwa
Hilang 9, Mengungsi 100.330 jiwa
Koq tega2nya @RafiNagita1717 bikin acara di GBK 😫 https://t.co/AK7tmVItIH"
28,https://twitter.com/z4r4n/status/1597442491581882369,2022-11-29 04:09:03+00:00,z4r4n,Relawan HILMI-FPI membangun Mushola untuk pengungsi korban Gempa di Cianjur. https://t.co/caJrMK2s2Z
29,https://twitter.com/Nirmala_0106/status/1597442363630424068,2022-11-29 04:08:33+00:00,Nirmala_0106,"Relawan Satu Komando Untuk Indonesia sudah bergerak membantu korban gempa Cianjur.
Bantuan kemanusiaan yang murni lahir untuk membantu sesama.
Mari kita sama-sama peduli untuk pulih kembali.
Indonesia Pasti Bisa !! https://t.co/8gg1cgQcaa"
30,https://twitter.com/DoankWarto/status/1597441335719759874,2022-11-29 04:04:28+00:00,DoankWarto,"Lapor saja sama FPI , semuanya akan ditangani dan diatasi oleh FPI.
Hanya FPI saja yg mampu mengatasi masalah pengungsi korban gempa CIANJUR. https://t.co/2TsWYTU41m"
31,https://twitter.com/FPKSDPRRI/status/1597438790372823040,2022-11-29 03:54:21+00:00,FPKSDPRRI,"Merespons dampak gempa yang relatif parah di Cianjur, Anggota Fraksi PKS, baik di DPR RI, DPRD Provinsi serta DPRD Kab/Kota, serentak memotong gaji mereka untuk disalurkan kepada pengungsi yang membutuhkan. https://t.co/7Dfe79yUlf"
32,https://twitter.com/GunRomli/status/1597438073838915585,2022-11-29 03:51:30+00:00,GunRomli,"Gusdurian Peduli Bersama GKI Cianjur Hibur Anak-Anak Korban Gempa di Pengungsian

https://t.co/w5NkXvWDko"
33,https://twitter.com/j_dobos/status/1597423011988373504,2022-11-29 02:51:39+00:00,j_dobos,"Cianjur Ooh Cianjur ..Ada apa dgnmu Cianjur ?

Tragedi gempa dicianjur tnyata jg mampu meluluh lantakkan hati nurani &amp; melukai byk pihak bkn hanya para korban gempa,.. Namun jg para donatur &amp; jg para relawan negeri ini.

#peliharaterusormasgarissampaimampus
#peliharalahintoleran https://t.co/KJbIRs4Kn6"
34,https://twitter.com/DivHumas_Polri/status/1597418828778311682,2022-11-29 02:35:02+00:00,DivHumas_Polri,"Layani Korban Bencana Water Treatment Korps Brimob Polri merupakan kendaraan khusus dalam situasi bencana. Berfungsi menyalurkan air siap konsumsi bagi pengungsi yang sulit mendapatkan air bersih, diterjunkan dalam penanganan gempa bumi di Cianjur. #HadirkanSenyuman https://t.co/JFDWCEiOvv"
35,https://twitter.com/DivHumas_Polri/status/1597418268893261824,2022-11-29 02:32:48+00:00,DivHumas_Polri,"#HadirkanSenyuman Jajaran Polri kembali melakukan apa yang mereka bisa untuk membantu meringankan beban korban gempa bumi Cianjur. Layani Korban Bencana Personel Bhayangkara melalui Sidokkes Polres Cianjur melaksanakan Home Visit di Posko Limbangan Sari, Cianjur, Jawa Barat. https://t.co/BpUFKitZY0"
36,https://twitter.com/DivHumas_Polri/status/1597417479575597056,2022-11-29 02:29:40+00:00,DivHumas_Polri,"Tes Kelayakan Makanan Untuk Layani Korban Bencana di Cianjur

Tim Dokkes Polri melakukan tes kelayakan makanan yang dikonsumsi para korban gempa Cianjur di tenda pengungsian, Senin (28/11). #HadirkanSenyuman https://t.co/57tGp9stGk"
37,https://twitter.com/ApriliaLin/status/1597415486945341440,2022-11-29 02:21:45+00:00,ApriliaLin,"Tidak perlu merasa heran bila ada yg mencopot spanduk tenda sumbangan dari sebuah gereja untuk korban gempa Cianjur

6 tahun lalu (tahun 2016), sumbangan berupa handuk untuk korban gempa Pidie, Aceh dgn logo ♂️♀️ pun dianggap upaya kristenisasi. 

https://t.co/GbzpEgB3zw https://t.co/FFjbnSFjSE"
38,https://twitter.com/StoryNayua/status/1597403972687384577,2022-11-29 01:36:00+00:00,StoryNayua,"“Kegiatan Para anggota FPI di Lokasi Gempa Cianjur”

Yang Cinta FPI kasih tanda ❤ https://t.co/Kj9rV0hiLf"
39,https://twitter.com/03__nakula/status/1597386365980680192,2022-11-29 00:26:02+00:00,03__nakula,"Terima kasih Relawan Nusantara Bersatu.
Semoga amal baik tersebut diterima Allah SWT, bermanfaat dan berkah... Aamiin ya rabb.

Untuk korban gempa Cianjur semoga diberi kekuatan, kesabaran, kesehatan dan dilimpahkan rejeki yang melimpah dan berkah.... Aamiin ya rabb. https://t.co/8tqgnTTPCi"
40,https://twitter.com/nusantara_one/status/1597362445722734592,2022-11-28 22:50:59+00:00,nusantara_one,Kenapa MUI yang menerima dana pemeriksaan produk halal tanpa audit pajak tidak nampak batang hidungnya di lokasi korban gempa Cianjur.
41,https://twitter.com/ferascorp/status/1597265186653876224,2022-11-28 16:24:30+00:00,ferascorp,"@didepancangkir @Penyuka_ombak Maaf Mas, kejadian dipalakin bukan cuma di cianjur, waktu gempa Lombok dan Palu banyak bantuan yg ga nyampe ke korban yg sesungguhnya krn sdh dibongkar duluan sama oknum2 di jalan.
Ga rame mgkn krn jauh dr Jawa"
