,URL,Date,User,Tweet
0,https://twitter.com/yandriireng/status/1600090974512115713,2022-12-06 11:33:11+00:00,yandriireng,"@pn7l7h Jangan heran bos klo di cianjur, memang banyak oknum yg tarikin uang untuk pengendara, jangan kan karna gempa, orng dijalan berlobang hanya di tutupi tanah aja orng lewat di tarikin uang klo gak mereka marah..
saya 2 tahun kerja di cianjur"
1,https://twitter.com/cameoproject_/status/1599304864273956866,2022-12-04 07:29:27+00:00,cameoproject_,"Oknum tak bertanggungjawab kerap mencurigai para pemberi bantuan untuk para korban gempa bumi Cianjur dan mencabut label nama bantuan dari para donatur tersebut...

Tonton full videonya di YT Cameo, klik disini! (https://t.co/veBbc0OScB)

#cameoproject #gempa #gempacianjur https://t.co/OisJlkmU9j"
2,https://twitter.com/TrishDa02826775/status/1599250265873735680,2022-12-04 03:52:30+00:00,TrishDa02826775,"Pray for garut. Tapi masih ada aja oknum yang manfaatin, pke video cianjur ditulis gempa garut, hanya buat engagement dan bikin panik org. Kalo mau gitu g usah dari bencana lah anying"
3,https://twitter.com/PelancongTua/status/1599229543549906944,2022-12-04 02:30:10+00:00,PelancongTua,"Di Wakanda : Jumlah Muslim #terbesar-jd #Iklan pemikat Gampang #Ngutang.
Eeh, #PajakWNRI_Muslim malah
Di curi Maling #oknum_istana
Utk represi dg #Islamophobia
Hari2 ini #Paijo_DKI  #Paksa
50% Infak Masdjid Se DKI
(Kata nya) utk Gempa Cianjur?
Pencuri bangga  #Ke_Setan_an diri https://t.co/TgtiMhOMez https://t.co/BP5e4O9apY"
4,https://twitter.com/AL__OY/status/1598916776838180865,2022-12-03 05:47:20+00:00,AL__OY,"@BuddhisGL @AndreMentaya Lg otw pulang, diusir sama oknum korban gempa cianjur."
5,https://twitter.com/petruspasaribuu/status/1598692186220265479,2022-12-02 14:54:54+00:00,petruspasaribuu,"@M45Broo Mari kita rasakan penderitaan dari saudara/i kita yg menjadi korban gempa cianjur.

Tepihkan rasa benci dari ulah sekelompok oknum,percayalah itu bukan suara mereka yg menjadi korban.

Salam kemanusiaan"
6,https://twitter.com/Imaginrycharctr/status/1598598722195456000,2022-12-02 08:43:30+00:00,Imaginrycharctr,"Sadar diri plis jgn gitu terus y

Malu org cianjur. Semenjak musibah gempa, seindonesia tau kelakuan warga cianjur. Aku kira kamu doang.
Ada juga beberapa org cianjur yg bikin klarifikasi malah salahin org2 yg salah paham, terkesan membela ""oknum"""
7,https://twitter.com/VIVAcoid/status/1598497251353059328,2022-12-02 02:00:18+00:00,VIVAcoid,"Belakangan media sosial dihebohkan dengan video segelintir oknum yang mencopot label kegamanaan dari tenda bantuan untuk korban gempa Cianjur, Jawa Barat.
https://t.co/DpX2XDZZ2k https://t.co/rxbhZ1u0yn"
8,https://twitter.com/Rez__________/status/1598490789859975174,2022-12-02 01:34:37+00:00,Rez__________,"Ini influencer yg pada ngomporin stop suplai bantuan ke Gempa Cianjur cuman gara2 satu dua kasus miring soal sikap korban dan oknum relawan, fix kalian SETAN SEMUA !!"
9,https://twitter.com/kamustikaa/status/1598474474713911296,2022-12-02 00:29:47+00:00,kamustikaa,"@eatchimkin @tanyarlfes kesian deh warga Cianjur. krn 1 oknum, jadi ada aja berita yg bikin spekulasi negatif, dan jahatnya netizen ada aja yg blg ""pantes dikasih gempa"" kek??? jahat bgt lo. padahal kl dibaca dari isi beritanya, menurut w sah-sah aja. tu tenda dibikin kan krn ada yg butuh, kebetulan -c-"
10,https://twitter.com/feblistiawan/status/1598281857631924226,2022-12-01 11:44:24+00:00,feblistiawan,"Menurut gw warga cianjur gak cuma ngadepin bencana gempa, tapi juga bencana sosial media.
Kasian dapet fitnah mulu, padahal yg ngelakuin oknum."
11,https://twitter.com/blublubsuk/status/1598245962421411840,2022-12-01 09:21:46+00:00,blublubsuk,"@RaysaMrnd @tanyakanrl sentimen gempa cianjur jd merambah kemana-mana gegara satu kasus, yg notabene oknum. Makanya berita apapun langsung pada salty. Udah tuh kurangnya literasi dan wawasan netijen. Makin 'norak' dan nggak berdasar deh reply an nya"
12,https://twitter.com/WidaLailatul/status/1598193339710722048,2022-12-01 05:52:39+00:00,WidaLailatul,"Mu tweets 🙃 before para relawan gempa cianjur mengundurkan diri happening hehe... ya gak semua korban memang begitu, hanya oknum tapi zuzur ya, itu ngeselin sihh. Kek gatau diuntung aja udah dibantu tapi gada syukur syukurnya"
13,https://twitter.com/may_marwan/status/1598162622553411585,2022-12-01 03:50:36+00:00,may_marwan,"Surat Pernyataan Warga Korban Gempa Cianjur, Terkait Aksi Oknum yang Berdampak Terhadap Semua Warga Cianjur https://t.co/2sOnEc6mRr"
14,https://twitter.com/hizam________/status/1598154850403233792,2022-12-01 03:19:43+00:00,hizam________,"tolong agar dpantau seandainya yg akan dberikan berupa uang agar sampai tpt sasaran kpd org yg sangat mbutuhkan, sbb mmg ada oknum yg akn mmnfaatkn itu bhkn scra tdk baik..🙏🏻
#Cianjur #PrayForCianjur #gempa #CianjurBerduka https://t.co/BHepWNIS5Y"
15,https://twitter.com/reganfarma/status/1598153362520014849,2022-12-01 03:13:48+00:00,reganfarma,"Sungguh biadab mereka yang mengunakan musibah gempa Cianjur untuk menebar isu SARA. bukannya bekerja menanggulangi terdampak bencana, malah ditunggangi isu ideologi oleh oknum islamphobia."
16,https://twitter.com/petruspasaribuu/status/1597974054765727744,2022-11-30 15:21:18+00:00,petruspasaribuu,"@S4N_W1B1 @Colibri79437982 Aku yakin ini hanya ulah sebagian kecil oknum untuk merusak keutuhan bangsa.
Bukan dari suara korban gempa cianjur.

Mari berpikir positive dan empati untuk saudara kita yg disana namun harus ada tidak tegas pada oknum tersebut pak @ListyoSigitP @mohmahfudmd"
17,https://twitter.com/ojanjimanis/status/1597972834017742848,2022-11-30 15:16:27+00:00,ojanjimanis,"Anjir aing banyak gaya cok
Sedikit trauma healing ❤️‍🩹 dari ojan buat adik-adik terdampak gempa bumi cianjur. Jangan terkontaminasi dengan yg viral di media. Itu masalah oknum sama netizen aja. Masih banyak kok yang bersyukur disana. Cianjur butuh pelukan juga masih perlu bantuan🙏🏽 https://t.co/j8FzdCZ0eA"
18,https://twitter.com/cameoproject_/status/1597939397949030400,2022-11-30 13:03:35+00:00,cameoproject_,"Gempa bumi di Cianjur masih menyisakan duka mendalam.

Namun sayang, ada oknum yang kerap mencurigai para pemberi bantuan dan mencabut label nama bantuan dari para donatur tersebut 😭

Tonton full videonya disini! (https://t.co/veBbc0OScB)

#cameoproject #gempa #gempacianjur https://t.co/c3k0xFm8K4"
19,https://twitter.com/kiiiinos/status/1597929460342587392,2022-11-30 12:24:06+00:00,kiiiinos,"Desas desus korban gempa Cianjur banyak bgt kabar miring masalah oknum, ngeluh bantuan, sama tenda tempat buat tidur. sebenernya yg penting adalah anak2 harus dikasih trauma healing, rata2 banyak anak2 yg diliburkan sekolahnya dan ngemis2 di pinggir jalan rumah mereka"
20,https://twitter.com/petruspasaribuu/status/1597881543435112448,2022-11-30 09:13:41+00:00,petruspasaribuu,"@Syarman59 @sankuroZ @PemkabCianjur @RTMC_PoldaJabar @BPBDJabar Aku percaya ini hanya ulah beberapa oknum.
Bukan dari suara korban gempa cianjur.

Harapannya ada tidakan tegas bagi oknum seperti itu @ListyoSigitP @mohmahfudmd karena pandangan orang terhadap cianjur jadi buruk."
21,https://twitter.com/starscent__/status/1597862541535117312,2022-11-30 07:58:11+00:00,starscent__,"Rekam jejak gempa Cianjur 21.11.2022. selain sedih karena rumah hancur, semua masyarakat dipandang buruk akibat dari oknum ga bertanggungjawab. Yang ngelakuinnya ga seberapa yang kena imbas malunya semuanya. Padahal masih banyak korban yang butuh uluran tangan💔 https://t.co/4oWlPrLi1f"
22,https://twitter.com/anindyanika_/status/1597828721720713217,2022-11-30 05:43:48+00:00,anindyanika_,Cianjur bener-bener lagi diuji. Gak hanya musibah gempa yang tak kunjung berhenti. Tapi juga hujatan dan bullyan para netijen serta doa-doa buruk bagi kami warga Cianjur. Hanya karena kemakan omongan2 oknum serta video-video yang tersebar di tik tok ataupun twitter.
23,https://twitter.com/1qbalsaputra/status/1597796671832088576,2022-11-30 03:36:26+00:00,1qbalsaputra,"apapun itu memang salah oknumnya tapi tolong jangan berhenti berbagi dan jangan karena 1 oknum kita pukul rata semua, masih banyak warga Cianjur yg butuh bantuan. apalagi gempa susulan masih sering terjadi. https://t.co/zX96NAyh8x"
